1,1.863
10,3.328
11,2.652
12,2.033
13,2.915
14,5.411
14,2.498
15,1.750
16,2.175
17,5.466
18,2.461
19,2.170
2,1.717
20,1.692
21,2.059
22,1.376
23,3.339
23,2.062
24,2.995
24,1.435
25,10.312
26,2.339
27,1.937
28,2.634
29,7.268
3,1.703
30,2.869
31,4.070
32,1.807
33,3.924
34,2.694
35,2.975
36,1.979
37,2.262
38,2.078
39,2.498
39,0.601
4,5.624
40,1.917
41,1.469
42,1.618
43,1.970
44,2.303
45,2.390
46,3.181
47,3.447
48,2.309
49,4.476
5,4.842
50,2.235
51,2.130
52,1.503
53,2.255
54,3.648
55,1.508
56,3.664
57,2.941
58,3.445
59,2.921
6,2.163
60,3.573
61,3.652
62,2.085
63,2.156
64,51.411
65,2.154
66,5.105
67,2.415
68,2.778
69,2.154
7,1.476
70,2.889
71,2.231
72,5.146
73,2.080
74,2.811
75,3.369
76,2.011
77,0.308
78,3.532
79,1.962
8,2.535
80,6.152
81,2.119
82,2.256
83,2.986
84,2.057
85,6.700
86,1.694
87,1.867
88,5.802
89,2.351
9,1.872
90,1.870
91,2.652
92,1.540
93,1.375
94,2.033
95,2.157
96,1.666
97,1.448
98,1.721
99,1.935
1,1.851
10,3.224
11,2.512
12,2.094
13,2.625
14,4.544
14,2.324
15,1.928
16,2.703
17,5.958
18,2.425
19,2.401
2,1.831
20,2.085
21,3.993
22,1.360
23,3.256
23,2.149
24,3.025
24,1.252
25,10.173
26,1.401
27,1.804
28,2.250
29,6.771
3,1.263
30,2.075
31,3.729
32,1.251
33,3.580
34,2.245
35,2.459
36,1.952
37,2.583
38,1.984
39,2.455
39,0.630
4,5.131
40,1.925
41,1.883
42,1.355
43,1.836
44,1.907
45,2.047
46,2.350
47,3.420
48,2.257
49,4.050
5,4.693
50,2.294
51,2.363
52,1.489
53,2.213
54,3.936
55,1.653
56,3.833
57,3.505
58,3.963
59,3.069
6,2.358
60,3.850
61,5.202
62,2.508
63,2.892
64,55.713
65,2.516
66,5.702
67,2.595
68,5.460
69,4.679
7,1.942
70,2.394
71,2.104
72,5.673
73,2.050
74,2.654
75,3.813
76,2.294
77,0.315
78,3.258
79,2.140
8,2.749
80,5.993
81,1.847
82,2.013
83,3.267
84,2.089
85,6.625
86,1.869
87,2.003
88,5.729
89,2.556
9,1.727
90,1.902
91,2.889
92,1.612
93,1.575
94,2.449
95,2.829
96,1.471
97,1.554
98,2.013
99,1.777
1,229820.082
10,1520.579
11,2885828.087
12,206.322
13,1386.354
14,31136.742
14,37390.520
15,711.442
16,2295.515
17,4325.678
18,1894.515
19,704.582
2,1849.591
20,337.139
21,3.162
22,1.585
23,18083.706
23,17764.273
24,590.056
24,570.273
25,7049.384
26,1104.247
27,1842.769
28,4118.842
29,4019.890
3,49.606
30,17445.938
31,12352.827
32,303.004
33,1009.717
34,535.507
35,1222.186
36,1574.838
37,3.120
38,3906.570
39,2.798
39,0.648
4,5182799.129
40,384.993
41,1406.859
42,654.940
43,1147.249
44,2564.893
45,287.330
46,936.062
47,5747.027
48,1607.791
49,493.370
5,2201.995
50,135.213
51,2948.413
52,673.419
53,886.619
54,45745.731
55,202.870
56,845.438
57,3026.042
58,952.255
59,2669.108
6,127565.674
60,3735.284
61,22.776
62,537.237
63,852.583
64,1733.878
65,2502.169
66,901.623
67,6094.238
68,590.326
69,915.268
7,1920.299
70,1899.361
71,911.131
72,12.333
73,464.878
74,1028636.510
75,2839.185
76,1117.834
77,0.810
78,4889.655
79,723.311
8,541.388
80,1155.772
81,14430.075
82,3.464
83,204.649
84,98.010
85,237.908
86,659.071
87,3813.008
88,3900.455
89,756.807
9,5134.187
90,344.936
91,73.326
92,163.362
93,207.823
94,318.072
95,51928.340
96,469.083
97,1605.388
98,573.887
99,997.993
